FullName,Type,Country
Château la Varière Le Savetier,Vitt vin,Frankrike
English Peated Selected by Clydesdale,Whisky,Storbritannien
Moët & Chandon Ice Impérial Demi-Sec,Mousserande vin,Frankrike
Toni Gelabert Fangos Negre,Rött vin,Spanien
Caspar X Riesling Feinherb,Vitt vin,Tyskland
Caspar X Riesling Trocken,Vitt vin,Tyskland
Ponzi Chardonnay Reserve,Vitt vin,USA
Kreinbacher Rosé Brut,Mousserande vin,Ungern
Clos Pons Algés,Rött vin,Spanien
Marrenon Amountanage Luberon Blanc,Vitt vin,Frankrike
Torello 225 Brut Nature,Mousserande vin,Spanien
Huno Blend,Rött vin,Spanien
Gruss Casse-Noisett Pinot Gris,Vitt vin,Frankrike
Gruss Cremant d'Alsace Rosé Brut,Mousserande vin,Frankrike
Eikendal Classique,Rött vin,Sydafrika
Ballast Point Unfiltered Sculpin IPA,Öl,USA
G.H Mumm No1 Gold Sec,Mousserande vin,Frankrike
Finca Rio Negro Gewürztraminer,Vitt vin,Spanien
Piemonte Cortese Enzo Bartoli,Vitt vin,Italien
Korlat Merlot,Rött vin,Kroatien
Chill Out Organic Riesling,Vitt vin,Tyskland
Vina Erdut Gewurztraminer,Vitt vin,Kroatien
Melleruds Klassiska Ale Eko,Öl,Sverige
Ruppertsberger Hofstück Riesling,Vitt vin,Tyskland
Trepat,Rött vin,Spanien
Diane de Belgrave,Rött vin,Frankrike
Korta Katarina Plavac Mali,Rött vin,Kroatien
Caspari Ellergrub Alte Reben Riesling Spätlese Trocken,Vitt vin,Tyskland
Gevrey-Chambertin Premier Cru Cherbaudes Domaine Fourrier,Rött vin,Frankrike
Corte Cariano Corvina Monovitigno,Rött vin,Italien
32 Via dei Birrai Öllåda,Öl,Italien
Dunavár Pinot Grigio,Vitt vin,Ungern
Clos de Vougeot Grand Cru Jean-Marie Fourrier,Rött vin,Frankrike
Charmes Chambertin Domaine Lignier-Michelot,Rött vin,Frankrike
Chambolle Musigny Premier Cru Aux Echanges Jean-Marie Fourrier,Rött vin,Frankrike
Regis Fliniaux Cuvée Prestige Grand Cru Brut,Mousserande vin,Frankrike
2 Mazi Red,Rött vin,Grekland
Arbois Savagnin-Sous Voile,Vitt vin,Frankrike
Sauvignon de Purcari,Vitt vin,Moldavien
Chicken Cock Bootleggers Blend Bourbon and Rye,Whisky,USA
Inici Priorat,Rött vin,Spanien
Jean-Diot Selection Brut,Mousserande vin,Frankrike
Viña Maipo Sauvignon Blanc,Vitt vin,Chile
Piero Busso Barbera d'Alba St Stefanetto,Rött vin,Italien
A Minima Rouge,Rött vin,Frankrike
Nivei Blanco,Vitt vin,Spanien
Dreissigacker Riesling Alte Reben,Vitt vin,Tyskland
Scarbolo Pinot Grigio,Vitt vin,Italien
Scarbolo My Time,Vitt vin,Italien
Scarbolo Cabernet Sauvignon,Rött vin,Italien
Castell del Remei Brut Nature,Mousserande vin,Spanien
Scarbolo Friulano,Vitt vin,Italien
Governo Sangiovese,Rött vin,Italien
Deanston Berry's Own Selection 16 Years,Whisky,Storbritannien
1270 A Vuit Red,Rött vin,Spanien
Crémant de Bourgogne Brut Préstige,Mousserande vin,Frankrike
Teerenpeli Single Malt 10 Years,Whisky,Finland
Brekeriet Brillant,Öl,Sverige
Bourgogne Passetoutgrain Robert Groffier Père et Fils,Rött vin,Frankrike
Chambolle Musigny Premier Cru Les Hauts Doix Robert Groffier Père et Fils,Rött vin,Frankrike
Rince & Repeat Session IPA,Öl,Sverige
1270 A Vuit Fina,Rött vin,Spanien
Akita Viramidus Selection,Rött vin,Spanien
Sixto Uncovered Chardonnay,Vitt vin,USA
Ironstone Old Vines Zinfandel,Rött vin,USA
Fattoria Paradiso Gradisca Dolce,Vitt vin,Italien
Wermlands Kaffestout,Öl,Sverige
Diamant Två Feta Grisar,Öl,Sverige
Optimus Primus Imperial Honey Stout,Öl,Sverige
Pango IPA,Öl,Sverige
Dr v Bassermann Jordan Chardonnay,Vitt vin,Tyskland
Sixten,Öl,Sverige
Q Lager,Öl,Sverige
Remmarlöv The Fenton Session IPA,Öl,Sverige
Saison Kongero,Öl,Sverige
Remmarlöv The Bonneville Organic Wheat,Öl,Sverige
Ryentorps IPA,Öl,Sverige
Jädraöl Gävle lager,Öl,Sverige
Poppels Session IPA,Öl,Sverige
Näcken,Öl,Sverige
Dalabryggeri Ljus Lager,Öl,Sverige
Marrenon Amountanage Luberon Rouge,Rött vin,Frankrike
Arvino Rosso,Rött vin,Italien
Venezia Giulia Chardonnay,Vitt vin,Italien
Ballast Point Coconut Victory At Sea,Öl,USA
Prosecco Valdobbiadene Extra Dry,Mousserande vin,Italien
La Riva Dei Frati Cabernet del Veneto,Rött vin,Italien
Albareda Sforzato di Valtellina,Rött vin,Italien
Philipp Kuhn Pinot Noir Tradition,Rött vin,Tyskland
Vintage Tunina,Vitt vin,Italien
Red Angel Pinot Nero,Rött vin,Italien
Venezia Giulia Pinot Grigio,Vitt vin,Italien
Where Dreams have no ends Venezia Giulia Bianco,Vitt vin,Italien
Laurent-Perrier Grande Sièce,Mousserande vin,Frankrike
The Taste of Barolo,Rött vin,Italien
Oc4 Islay Single Malt,Whisky,Storbritannien
Amrut Port Pipe Peated,Whisky,Indien
Glen Grant Gourmet Granola,Whisky,Storbritannien
Bowmore Bofire Attire,Whisky,Storbritannien
Invergordon Strawberry Fondant Icing,Whisky,Storbritannien
Mortlach Gingerbread House,Whisky,Storbritannien
Balblair A D Rattray Sherry Cask 6 Years,Whisky,Storbritannien
Balmenach A D Rattray Sherry Finish 7 Years,Whisky,Storbritannien
Glen Spey A D Rattray Cask Collection No 800861 25 Years,Whisky,Storbritannien
Dofftown A D Rattray Wine Finish 19 Years,Whisky,Storbritannien
Speyburn Sauternes Finish 8 Years,Whisky,Storbritannien
Folkes IPL,Öl,Sverige
Ronneby Lager,Öl,Sverige
Maredsous Brune,Öl,Belgien
Brasstacks The Conductor,Öl,Sverige
Aurum Brut Nature Reserva,Mousserande vin,Spanien
Brasstacks Blueberry Backbone,Öl,Sverige
Falonia Mörk Ale,Öl,Sverige
Castell De Ribes Semi Seco,Mousserande vin,Spanien
S:t Olof Havrestout,Öl,Sverige
15 Minutes of Flame India Pale Ale,Öl,Sverige
The Great Adventures of Mofaza Pale Ale,Öl,Sverige
Captain Crocbuster's Great Lake Pils,Öl,Sverige
Dugges Stillwater Artisanal Tropic Thunder,Öl,Sverige
Slottskällans Freedom IPA,Öl,Sverige
Tolaini Al Passo,Rött vin,Italien
Tolaini Picconero,Rött vin,Italien
Slottskällans Vit,Öl,Sverige
Groh Organic Grauburgunder Trocken,Vitt vin,Tyskland
Enskede Pale Ale,Öl,Sverige
Caspari Zeppwingert Riesling Feinherb Alte Reben Spätlese Trocken,Vitt vin,Tyskland
Gabriel Meffre Côtes-du-Rhône Saint-Francois,Vitt vin,Frankrike
Grebbestad Saison,Öl,Sverige
Halmstad Brygghus Tjuvahålan Lager,Öl,Sverige
Flora Springs Cabernet Sauvignon,Rött vin,USA
Villa Chiòpris Pinot Grigio,Vitt vin,Italien
Livon Valbuins Sauvignon Blanc,Vitt vin,Italien
Villa Chiòpris Sauvignon Blanc,Vitt vin,Italien
Ironstone Cabernet Sauvignon,Rött vin,USA
Alfiero Boffa Moscato d'Asti La Lupa,Vitt vin,Italien
Fattoria ColSanto Sagrantino di Montefalco,Rött vin,Italien
La Roche Buissière Petit Jo,Rött vin,Frankrike
Borgo Salcetino Lucarello Chianti Classico Riserva,Rött vin,Italien
Borgo Salcetino Chianti Classico,Rött vin,Italien
Borgo Salcetino RosSole Sangiovese Merlot,Rött vin,Italien
Glenlossie 23 Years,Whisky,Storbritannien
Fattoria ColSanto Ruris,Rött vin,Italien
The Dark Secret Vol II 19 Years,Whisky,Storbritannien
Domaine Bernhard & Reibel Pinot Gris,Vitt vin,Frankrike
Hirsch Vineyards West Ridge Pinot Noir,Rött vin,USA
Château Grand Lys,Rött vin,Frankrike
2 Mazi White,Vitt vin,Grekland
Malondro,Rött vin,Spanien
Santa Duc Côtes du Rhône Les Vieilles Vignes,Rött vin,Frankrike
Tormore 23 Years,Whisky,Storbritannien
Beaune Premier Cru Theurons Louis Jadot,Rött vin,Frankrike
Beaune Premier Cru Clos des Couchereaux Louis Jadot,Rött vin,Frankrike
Guldkula Diamond Grand Cru Vintage,Mousserande vin,Frankrike
Salon,Mousserande vin,Frankrike
Rirum Tillt Pale Ale,Öl,Sverige
Fleurie Clos Vernay Domaine Lafarge Vial,Rött vin,Frankrike
Glen Elgin-Glenlivet Small Batch 20 Years,Whisky,Storbritannien
Nuits-St-Georges Premier Cru Les Boudots Maison Louis Jadot,Rött vin,Frankrike
Glen Scotia Limited Edition,Whisky,Storbritannien
Ben Nevis Sherry Cask 16 Years,Whisky,Storbritannien
Barbera d´Asti Superiore,Rött vin,Italien
Lange Rosso Ludovica,Rött vin,Italien
Barbera d'Alba Superiore Palazzotto,Rött vin,Italien
Nebbiolo d'Alba,Rött vin,Italien
Strathmill Small Batch 23 Years,Whisky,Storbritannien
Chang Beer,Öl,Thailand
Oceanbryggeriet Västkust,Öl,Sverige
William Cadenhead Blended Scotch Whisky 12 Years,Whisky,Storbritannien
Mas d'en Pol,Vitt vin,Spanien
Vall del Calàs,Rött vin,Spanien
Costers del Gravet,Rött vin,Spanien
Les Jardins de Bouscassé,Vitt vin,Frankrike
Bowmore Tempest VI 10 Years,Whisky,Storbritannien
Txomin Etxaniz Txakoli,Vitt vin,Spanien
Michel Genet Grand Cru Blanc de Blancs Brut Esprit,Mousserande vin,Frankrike
Egly-Ouriet Brut Grand Cru Millésime,Mousserande vin,Frankrike
Villa Marcello Prosecco,Mousserande vin,Italien
Zyme Kairos,Rött vin,Italien
Zyme Amarone Classcio,Rött vin,Italien
Cavalier Cesare Canonica Langhe Nebbiolo,Rött vin,Italien
Domaine Bernhard & Reibel Riesling Vendanges Tardives,Vitt vin,Frankrike
Sommarovina Valtellina Superiore,Rött vin,Italien
Bushveld Bulldog India Pale Ale,Öl,Sverige
Castelo Rodrigo Touriga Nacional,Rött vin,Portugal
Cornas Les Ruchets Jean-Luc Colombo,Rött vin,Frankrike
Eugen Altschuh Pfalz Riesling Dry,Vitt vin,Tyskland
Zýme La Mattonara Riserva Amarone della Valpolicella Classico,Rött vin,Italien
Zýme Valpolicella Classico Superiore,Rött vin,Italien
Zýme Metodo Classico,Mousserande vin,Italien
Sublime Grand Cru Rosé,Mousserande vin,Frankrike
Anchor California Lager,Öl,USA
Vieux Château Mazerat Château Teyssier,Rött vin,Frankrike
Jean-Christophe Pellerin Classic Rosé Méthode Ancestrale,Mousserande vin,Frankrike
Marco Mosconi Amarone,Rött vin,Italien
Marco Mosconi Superiore,Rött vin,Italien
Musigny Grand Cru Louis Jadot,Rött vin,Frankrike
Bonnes Mares Grand Cru Louis Jadot,Rött vin,Frankrike
Chambertin Clos de Bèze Grand Cru Louis Jadot,Rött vin,Frankrike
The Whisky Agency Islay Malt 8 Years,Whisky,Storbritannien
Comte Hugues de La Bourdonnaye Brut Nature Rosé,Mousserande vin,Frankrike
Comte Hugues de La Bourdonnaye Brut Nature Grande Réserve,Mousserande vin,Frankrike
Alpamanta Breva Sauvignon Blanc,Vitt vin,Argentina
Glenallachie Liquid Sun 20 Years,Whisky,Storbritannien
Cornas Jouvet François Villard,Rött vin,Frankrike
Kildalton The Maltman Sherry Cask No 5065,Whisky,Storbritannien
Caledonian The Grainman Cask No 23894,Whisky,Storbritannien
Dumbarton The Grainman Cask No 30012,Whisky,Storbritannien
Invergordon The Grainman 45 Years,Whisky,Storbritannien
Glen Keith Sherry Cask 135908 21 Years,Whisky,Storbritannien
Glen Moray Cask 5136 9 Years,Whisky,Storbritannien
3 Fonteinen Oude Geuze Cuvée Armand & Gaston,Öl,Belgien
Pasqua Prosecco Frizzante,Mousserande vin,Italien
3 Fonteinen Oude Kriek,Öl,Belgien
3 Fonteinen Oude Geuze,Öl,Belgien
Närke ? Korn-vins Ale,Öl,Sverige
Klackabacken Hallon Berliner,Öl,Sverige
GBG Beer Week 2018 Dugges Strawberry sour beer,Öl,Sverige
Collective Art Hazy New England IPA,Öl,Kanada
Wildfire IPA,Öl,Sverige
Allt-a-Bhainne Liquid Sun 22 Years,Whisky,Storbritannien
Occidental Station Vineyard Cuvée Catherine Pinot Noir,Rött vin,USA
Les Pujoles,Rött vin,Spanien
Soave Mito,Vitt vin,Italien
Casa Nostra Organica,Rött vin,Italien
MilleUna Tretarante Dolce Naturale,Rött vin,Italien
1270 A Vuit Blanc,Vitt vin,Spanien
Andechser Weissbier Dunkel,Öl,Tyskland
MilleUna Aladino Primitivo Dolce Naturale,Rött vin,Italien
Hope You Like Idaho Double IPA,Öl,Sverige
Used Motor Oil South Plains Brewing Company,Öl,Sverige
Hoparoma NE IPA,Öl,Sverige
Freja Blonde,Öl,Sverige
Sigvid Englandsfararen EPA,Öl,Sverige
Mango Fandango Spike Brewery,Öl,Sverige
Bergslager,Öl,Sverige
All In DIPA,Öl,Sverige
Stellenbosch Reserve Vanderstel,Rött vin,Sydafrika
Ognissole Primitivo di Manduria,Rött vin,Italien
Round House Signature Collection Shiraz,Rött vin,Sydafrika
Misty Cove Organic Pinot Noir,Rött vin,Nya Zeeland
Logan Weemala Tempranillo,Rött vin,Australien
Falanghina del Sannio Nifo Sarapocchiello,Vitt vin,Italien
Cristo di Campobello Laudàri Chardonnay,Vitt vin,Italien
West Chardonnay,Vitt vin,USA
Monte Stelle Soave Classico,Vitt vin,Italien
Monte Tondo Soave Classico,Vitt vin,Italien
Reyneke Vinehugger Cabernet Sauvignon Merlot,Rött vin,Sydafrika
Murdoch James Estate Pinot Noir,Rött vin,Nya Zeeland
Feldgefluster Riesling Kabinett,Vitt vin,Tyskland
Dr von Bassermann-Jordan Deidesheimer Leinhöhle,Vitt vin,Tyskland
Langenlois Weingut Jurtschitsch Grüner Veltliner,Vitt vin,Österrike
Sandstein Riesling trocken,Vitt vin,Tyskland
Gruber Röschitz Hundspoint Grüner Veltliner,Vitt vin,Österrike
Klangwerk GG trocken Riesling vum Helle,Vitt vin,Tyskland
Pascual Toso Cabernet Sauvignon,Rött vin,Argentina
Röschitz Grüner Veltliner,Vitt vin,Österrike
Le Guaite di Noemi Ripasso,Rött vin,Italien
H.O. Achado,Rött vin,Portugal
Le Palé Ripasso Fratelli Giuliare,Rött vin,Italien
Recioto Le Guaite di Noemi,Rött vin,Italien
H.O. Colheita,Rött vin,Portugal
Lleiroso Crianza,Rött vin,Spanien
Geheimrat J Riesling Spätlese Trocken,Vitt vin,Tyskland
Quinta do Mondego Tinto,Rött vin,Portugal
Casette Foscarin Soave Classico,Vitt vin,Italien
Gran Appasso,Rött vin,Italien
Marqués de Velilla Roble,Rött vin,Spanien
Sancerre Enclos de Maimbray,Vitt vin,Frankrike
Black Stallion Transcendent Cabernet Sauvignon,Rött vin,USA
Château Montus Blanc,Vitt vin,Frankrike
Inedit Damm,Öl,Spanien
Wither Hills Pinot Noir,Rött vin,Nya Zeeland
Barbera d'Asti Stella Rossa Marco Bonfante,Rött vin,Italien
Borgi Organico,Rött vin,Italien
Brazil Intenso Tannat,Rött vin,Brasilien
Brazil Intenso Brut,Mousserande vin,Brasilien
Pouilly-Fumé Bertrand Jeannot et Fils,Vitt vin,Frankrike
Les Eléphants Sauvignon,Vitt vin,Frankrike
Slottskällan Summer Ale,Öl,Sverige
Uppsala Brygghus Czech Mate Pilsner,Öl,Sverige
Rommeheds Lageröl,Öl,Sverige
Arabicanatt,Öl,Sverige
Fortets IPA,Öl,Sverige
Ellas IPA,Öl,Sverige
Lemon & Ginger Lager,Öl,Sverige
O/O Evergreen,Öl,Sverige
NKB Just Chill'n Stout,Öl,Sverige
NKB - Trippie Hippie Sessions IPA,Öl,Sverige
Wapnö Bjällra IPA,Öl,Sverige
Wheat Treat,Öl,Sverige
Malpuesto,Rött vin,Spanien
Rust en Vrede Estate Cabernet Sauvignon,Rött vin,Sydafrika
Oude Mûre Tilquin à l'Ancienne,Öl,Belgien
Oude Gueuze Tilquin à l'Ancienne,Öl,Belgien
Stout Rullquin,Öl,Belgien
Oude Quetsche Tilquin à l'Ancienne,Öl,Belgien
Les Travers Rouge Cairanne,Rött vin,Frankrike
Les Travers Blanc Cairanne,Vitt vin,Frankrike
Gigondas Les Hauts de Montmirail,Rött vin,Frankrike
Wermland SWIPA,Öl,Sverige
Koyle Royale Syrah,Rött vin,Chile
Cono Sur Pinot Noir Organic,Rött vin,Chile
Nuits-Saint-Georges Premier Cru Les Damodes Domaine de la Vougeraie,Rött vin,Frankrike
Amalaya Blanco de Corte,Vitt vin,Argentina
Route du Van Sauvignon Blanc Semillon,Vitt vin,Australien
Amarone Sangue di Miura by Tonini Lamborghini,Rött vin,Italien
Route du Van Dolcetto Shiraz,Rött vin,Australien
Gran Maestro Appassimento Bianco,Vitt vin,Italien
San Vicente,Rött vin,Spanien
Hyde No 3 Bourbon Finish 6 Years,Whisky,Irland
Chablis Premier Cru Vaillons Domaine Servin,Vitt vin,Frankrike
Tingvalla Stout,Öl,Sverige
Bishops Finger Kentish Strong Ale,Öl,Storbritannien
Gutevin Lukase Grand Reserv,Rött vin,Sverige
Chic Barcelona Brut,Mousserande vin,Spanien
Brasstacks Pom-Pom Pomegranate Blonde,Öl,Sverige
Parcela El Picon,Rött vin,Spanien
Cattier Blanc de Noirs Brut,Mousserande vin,Frankrike
Electric Nurse Dark Skull,Öl,Sverige
Sundbybergs Pale Ale,Öl,Sverige
Waxholm Saison,Öl,Sverige
Nya Carnegiebryggeriet 100W IPA,Öl,Sverige
Space Monk,Öl,Sverige
Grebbestad Session IPA,Öl,Sverige
Freixenet Organic Brut,Mousserande vin,Spanien
Essentia Loci Primotivo,Rött vin,Italien
Mendel Cabernet Sauvignon,Rött vin,Argentina
Strandlida Bryggeri India Pale Ale,Öl,Sverige
Dr Loosen Ürziger Würzgarten Grosses Gewächs Riesling,Vitt vin,Tyskland
Oceanbryggeriet Arbetarporter,Öl,Sverige
DalaBryggeri American Brown Ale,Öl,Sverige
Collection Mourvèdre Lapostolle,Rött vin,Chile
Alphyddan Weisse,Öl,Sverige
Skelderwikens American Pale Ale,Öl,Sverige
Kuyen,Rött vin,Chile
F2 Pale Ale,Öl,Sverige
Chablis Pommier,Vitt vin,Frankrike
Barlingbo Soleldn,Öl,Sverige
Basilisco Aglianico del Vulture,Rött vin,Italien
Fryken Blond Ale,Öl,Sverige
Härje Pale Ale,Öl,Sverige
Helgas Hembrygd,Öl,Sverige
Lossen India Pale Ale,Öl,Sverige
Mellankröket Ljus Lager,Öl,Sverige
Mannerströms,Öl,Sverige
Carlstad Tysk Ale,Öl,Sverige
Äppelbo RED tALE Mellanöl,Öl,Sverige
Karls Krona,Öl,Sverige
Charlis ipaipa,Öl,Sverige
Sigtuna Black Soil IPA,Öl,Sverige
Halmstad Brygghus Slöinge Imperial Kaffe Stout,Öl,Sverige
Mountain Brews Hazy Lager,Öl,Österrike
#001 Szechuan Pepper Wit,Öl,Sverige
The Lion Organic Agiorgitiko Cabernet Sauvignon,Rött vin,Grekland
Torelló Pàl-Lid Brut Rosé Reserva,Mousserande vin,Spanien
Torelló Special Edition Brut Reserva,Mousserande vin,Spanien
Bourgogne Isabelle et Denis Pommier Pinot Noir,Rött vin,Frankrike
Château Bourdicotte Terres Rouges,Rött vin,Frankrike
Logan Weemala Pinot Gris,Vitt vin,Australien
Logan Cabernet Merlot,Rött vin,Australien
Château Pierrail Cuvée Prestige,Vitt vin,Frankrike
Monbazillac Cuvée Grande Réserve,Vitt vin,Frankrike
Cornet & Cie Blanc,Vitt vin,Frankrike
Château Nardou Francs Cotes de Bordeaux,Rött vin,Frankrike
Störtebeker Roggen-Weizen,Öl,Tyskland
Il Nespoli Romagna Sangiovese Superiore Riserva,Rött vin,Italien
Torraccia del Piantavigna Ghemme,Rött vin,Italien
Morgon Côte du Py Jean Foillard,Rött vin,Frankrike
Comtesse de Ségur Chateau Laulerie Sauvignon Blanc,Vitt vin,Frankrike
Logan Shiraz,Rött vin,Australien
La Vielle Julienne Les Trois Sources Daumen Père et Fils,Rött vin,Frankrike
Profilöl,Öl,Sverige
Armi Vineyard Thrapsathiri,Vitt vin,Grekland
Mercurey Clos La Marche,Rött vin,Frankrike
Château Tertre Roteboeuf,Rött vin,Frankrike
Lyrarakis Kotsifali,Rött vin,Grekland
The Deveron 12 years,Whisky,Storbritannien
Château de Saint Cosme Hominis Fides,Rött vin,Frankrike
Château de Saint Cosme Le Claux,Rött vin,Frankrike
Jura Island Tasting Collection,Whisky,Storbritannien
Karmeliten Biobier,Öl,Tyskland
Jean-Yves de Carlini Brut Grand Cru Millésime,Mousserande vin,Frankrike
The Stumbling Block Sangiovese Petit Verdot,Rött vin,Australien
Borgogno Dolcetto d'Alba,Rött vin,Italien
Château de la Tour Clos Vougeot Vieilles Vignes Domaine Pierre Labet,Rött vin,Frankrike
Ponderosa Viognier,Vitt vin,USA
Pabst Blue Ribbon,Öl,USA
Aecht Schlenkerla Rauchbier,Öl,Tyskland
Château de la Tour Cuvée Classic Domaine Pierre Labet,Rött vin,Frankrike
Organic Smash Rabots Mission Blonde Organic Smash,Öl,Sverige
Trapiche Gran Medalla,Rött vin,Argentina
Alter Ego,Rött vin,Frankrike
August Kesseler Riesling Lorch,Vitt vin,Tyskland
Casal di Serra Classico Superiore Umani Ronchi,Vitt vin,Italien
Berg Schlossberg Riesling Grosses Gewächs Kloster Eberbach,Vitt vin,Tyskland
Henri Giraud Blanc de Craie,Mousserande vin,Frankrike
Storm Blended Malt Scotch Whisky,Whisky,Storbritannien
Chambolle-Musigny Les Cras Antonin Guyon,Rött vin,Frankrike
Drostdy-Hof Sauvignon Blanc,Vitt vin,Sydafrika
Trapiche Pure Malbec,Rött vin,Argentina
Don David Cabernet Sauvignon,Rött vin,Argentina
Cono Sur Single Vineyard Cabernet Sauvignon,Rött vin,Chile
Don David Tannat,Rött vin,Argentina
Don David Chardonnay,Vitt vin,Argentina
Don David Syrah,Rött vin,Argentina
Philippe Gonet Brut Réserve,Mousserande vin,Frankrike
Balvenie TUN 1509 Batch 3 William Grant & Sons,Whisky,Storbritannien
Côtes du Rhône La Redonne,Vitt vin,Frankrike
Imago,Rött vin,Argentina
Knipser Kirschgarten Spätburgunder GG,Rött vin,Tyskland
Brutal Brewing LoLa,Öl,Sverige
San Lorenzo The Pearl,Rött vin,USA
Langhe Nebbiolo Paolo Scavino,Rött vin,Italien
Balbinot Prosecco Brut,Mousserande vin,Italien
Langhe Rosso Marchesi di Barolo,Rött vin,Italien
Balblair Vintage,Whisky,Storbritannien
Lakefront Oktoberfest Lager,Öl,USA
MIM Natura Pinot Noir Brut Reserva Rosé,Mousserande vin,Spanien
Glen Moray Bourbon Cask 17 Years,Whisky,Storbritannien
Châteauneuf-du-Pape Domaine Duclaux,Rött vin,Frankrike
Glenallachie 8 Years,Whisky,Storbritannien
Ciù Ciù di Bartolomei Grande Sangiovese,Rött vin,Italien
Roc des Les Anges Segna de Cor,Rött vin,Frankrike
Erasmo Barbera Garnacha,Rött vin,Chile
Philippe Gonet Brut Blanc de Blanc Grand Cru,Mousserande vin,Frankrike
Bolla Valdobbiadene Prosecco Superiore,Mousserande vin,Italien
I Progni Valpolicella Ripasso Classico Superiore,Rött vin,Italien
Les Granits M Chapoutier,Vitt vin,Frankrike
Los Aguilares Pinot Noir,Rött vin,Spanien
Khartoum Stout,Öl,Sverige
Vall Por,Rött vin,Spanien
Barbera d'asti Campasso Superiore,Rött vin,Italien
Château Quinsac Bordeaux Supérieur,Rött vin,Frankrike
Glenrothes Chocolate Orange Segment,Whisky,Storbritannien
Barbera d'asti Il Beneficio Superiore,Rött vin,Italien
Ricossa Barbera Appassimento,Rött vin,Italien
Taittinger Prestige Rosé,Mousserande vin,Frankrike
Château Plantier Rose Cru Bourgeois,Rött vin,Frankrike
Vista Alegre Gran Reserva,Rött vin,Spanien
Prestige des Sacres Brut,Mousserande vin,Frankrike
Prestige des Sacres Brut Rosé,Mousserande vin,Frankrike
Baron de Saint Jean Languedoc,Rött vin,Frankrike
Laurent-Perrier Millesime,Mousserande vin,Frankrike
Châteauneuf-du-Pape Domaine Chante Cigale Vielles Vignes,Rött vin,Frankrike
High Commissioner,Whisky,Storbritannien
Badger Firkin Fox,Öl,Storbritannien
Mariestads Oktoberfest öl,Öl,Sverige
Los Aguilares Vino Tinto,Rött vin,Spanien
Hammer Village,Whisky,Storbritannien
Crémant d'Alsace Chardonnay,Mousserande vin,Frankrike
1664,Öl,Internationellt märke
Grillo Selezione di Famiglia,Rött vin,Italien
Mercurey Les Rochelles,Vitt vin,Frankrike
Collosorbo Rosso Toscana,Rött vin,Italien
Oakridge Over the Shoulder Pinot noir,Rött vin,Australien
Oakridge Local Vineyard Series Barkala Chardonnay,Vitt vin,Australien
Poggio alla Guardia,Rött vin,Italien
Primitivo Palazzo del Vignola by Tonini Lamborghini,Rött vin,Italien
Teeling Rum Cask,Whisky,Irland
Villa Monteleone Campo Santa Lena,Rött vin,Italien
Charlotte Perrelli Mil & Uma Noites,Mousserande vin,Portugal
Oakridge Local Vineyard Series Sauvignon,Vitt vin,Australien
Ministry of Clouds Mataro,Rött vin,Australien
Pinot Blanc Organic,Vitt vin,Frankrike
Oakridge 864 Chardonnay,Vitt vin,Australien
Oakridge 864 Pinot Noir,Rött vin,Australien
Régis Fliniaux Rosé Brut,Mousserande vin,Frankrike
Is Solus,Rött vin,Italien
Xenius Brut Rosado,Mousserande vin,Spanien
La Valentina Trebbiano d´Abruzzo Superiore,Vitt vin,Italien
Footsteps Cabernet Sauvignon,Rött vin,USA
Jämtlands Baltic Imperial Stout,Öl,Sverige
La Valentina Spelt Riserva,Rött vin,Italien
La Umbra Cabernet & Syrah Reserve,Rött vin,Rumänien
San Giovanni 100% Metodo Classico Groppello,Mousserande vin,Italien
Luke Lambert Yarra Valley Syrah,Rött vin,Australien
Luke Lambert Yarra Valley Chardonnay,Vitt vin,Australien
Laudum Nature Monastrell Old Vines,Rött vin,Spanien
La Valentina Montepulciano d´Abruzzo,Rött vin,Italien
Grythyttans Brygghus Bock,Öl,Sverige
Monte Santoccio Ripasso,Rött vin,Italien
Logan Chardonnay,Vitt vin,Australien
Coppersmith's Westerås Premium Lager,Öl,Sverige
Lily Chardonnay Sauvignon Blanc,Vitt vin,Bulgarien
Dreissigacker Organic Silvaner,Vitt vin,Tyskland
Somdinou Blanco,Vitt vin,Spanien
Calinda Moscatel,Vitt vin,Spanien
SnIPA American Pale Ale,Öl,Sverige
Old Pulteney Navigator,Whisky,Storbritannien
Legras & Haas Grand Cru Blanc de Blancs,Mousserande vin,Frankrike
Empirical Stout,Öl,Sverige
Glenfiddich 12 Years,Whisky,Storbritannien
Eckhard Walter Pinot Blanc,Vitt vin,Tyskland
Transatlantic Lager,Öl,Sverige
Savannen,Öl,Sverige
Surpéne,Öl,Sverige
Monstrosity,Öl,Sverige
Göteborgs Pilsner,Öl,Sverige
Campeiro Pale Ale,Öl,Sverige
Limhamns Lager,Öl,Sverige
Palomino Session IPA,Öl,Sverige
Pite Pale Ale,Öl,Sverige
Bee Hoppy,Öl,Sverige
Södra Jura Island Glory,Öl,Sverige
Half IPA,Öl,Sverige
Öregrund Ale,Öl,Sverige
Brasstacks Galacksy,Öl,Sverige
Pegasus Original,Vitt vin,Sverige
Böna och Be Bitter,Öl,Sverige
Saison des Brasseurs,Öl,Sverige
Brunnsvik Motala APA,Öl,Sverige
Varamon Motala Pilsner,Öl,Sverige
Öregrund Lager,Öl,Sverige
Bikandi Ecologico Crianza,Rött vin,Spanien
Organic Smash Orbaden Riviera Pilsner,Öl,Sverige
Organic Smash Electric Boy,Öl,Sverige
